district,state,latitude,longitude,soil_type,soil_n,soil_p,soil_k,soil_ph,soil_moisture,humidity,avg_temperature,seasonal_rainfall,climate_season,previous_crop,crop_name,crop_duration_days,crop_water_requirement,yield_tonnes_per_hectare,risk_score
Bathinda,Punjab,30.0467,75.3027,Sandy,59,39,37,8.0,20,41,33,245,Zaid,Tomato,Cabbage,113,High,10.94,0.562
Bhavnagar,Gujarat,22.3627,73.3016,Red,53,20,38,6.5,20,90,26,1139,Kharif,Cauliflower,Chilli,140,Medium,3.23,0.461
Nagpur,Maharashtra,18.2114,75.5315,Alluvial,24,28,45,7.8,27,80,31,1362,Kharif,Sugarcane,Cotton,183,Low,3.0,0.629
Kochi,Kerala,10.2052,76.3494,Sandy,53,29,59,8.1,20,40,38,213,Zaid,Rice,Potato,110,Medium,10.86,0.718
Pune,Maharashtra,16.7167,78.1632,Red,42,43,48,6.2,20,41,37,185,Zaid,Brinjal,Maize,97,Medium,4.16,0.645
Hubballi,Karnataka,13.1392,76.5146,Alluvial,28,31,30,7.7,20,53,34,344,Zaid,Brinjal,Groundnut,114,Low,2.31,0.429
Ludhiana,Punjab,31.9507,75.6252,Alluvial,45,25,17,7.4,32,85,24,1612,Kharif,Maize,Mustard,138,Low,1.69,0.293
Tiruchirappalli,Tamil Nadu,12.052,79.0406,Laterite,65,24,58,5.2,20,59,44,343,Zaid,Groundnut,Sugarcane,364,Very High,48.82,0.8
Patna,Bihar,27.2427,85.244,Sandy,23,10,62,8.9,20,67,13,517,Rabi,Fallow,Sugarcane,328,Very High,30.02,0.8
Ajmer,Rajasthan,25.0325,72.0496,Loamy,60,21,65,7.4,20,43,20,314,Rabi,Sugarcane,Wheat,170,Medium,3.38,0.323
Siliguri,West Bengal,24.3541,88.8688,Sandy,40,58,46,7.5,20,37,34,233,Zaid,Sugarcane,Cauliflower,80,High,9.31,0.768
Bardhaman,West Bengal,25.729,87.9899,Alluvial,55,28,64,7.3,31,87,24,1596,Kharif,Potato,Cabbage,91,High,38.15,0.258
Surat,Gujarat,21.0849,69.0485,Sandy,45,51,35,7.8,26,71,25,1632,Kharif,Wheat,Cauliflower,84,High,19.72,0.545
Jabalpur,Madhya Pradesh,24.7593,77.3156,Alluvial,20,28,66,7.8,20,50,21,547,Rabi,Tomato,Groundnut,120,Low,2.56,0.26
Bathinda,Punjab,31.5329,75.6851,Red,26,43,24,5.7,30,78,24,1878,Kharif,Cabbage,Maize,97,Medium,5.41,0.357
Pune,Maharashtra,18.1013,74.7661,Red,65,27,24,6.9,20,48,35,321,Zaid,Sugarcane,Tomato,99,Medium,17.26,0.754
Surat,Gujarat,24.2045,70.8704,Alluvial,42,30,26,6.8,28,70,31,1447,Kharif,Sugarcane,Mustard,124,Low,1.39,0.297
Madurai,Tamil Nadu,10.9201,78.0381,Laterite,25,49,36,6.1,20,60,34,363,Zaid,Rice,Groundnut,118,Low,1.53,0.341
Madurai,Tamil Nadu,9.0262,77.1562,Black,37,46,18,7.3,23,72,39,998,Kharif,Mustard,Maize,114,Medium,6.4,0.445
Udaipur,Rajasthan,26.7148,77.0079,Red,73,27,60,6.9,31,84,26,1947,Kharif,Cabbage,Onion,142,Medium,18.55,0.291
Nellore,Andhra Pradesh,15.6775,82.8789,Clay,64,46,39,6.5,28,72,36,1206,Kharif,Chilli,Potato,100,Medium,37.06,0.543
Jodhpur,Rajasthan,23.2838,77.5921,Sandy,23,14,66,7.5,20,70,23,479,Rabi,Rice,Cabbage,106,High,21.73,0.443
Nagpur,Maharashtra,16.1316,79.1403,Alluvial,63,59,62,7.3,36,79,37,1817,Kharif,Cabbage,Rice,128,High,5.77,0.296
Bathinda,Punjab,31.3962,75.5971,Black,37,44,35,7.3,20,48,22,260,Rabi,Groundnut,Cotton,160,Low,1.25,0.764
Madurai,Tamil Nadu,13.3555,78.7367,Loamy,25,56,42,6.4,23,87,35,1169,Kharif,Maize,Wheat,140,Medium,2.95,0.395
Visakhapatnam,Andhra Pradesh,17.3889,78.8429,Black,53,58,55,7.8,33,84,33,1396,Kharif,Groundnut,Cotton,206,Low,3.91,0.502
Mysuru,Karnataka,15.7208,76.0234,Loamy,57,44,61,7.2,20,51,38,306,Zaid,Mustard,Cauliflower,109,High,15.22,0.664
Gaya,Bihar,26.6671,85.6642,Alluvial,32,45,54,7.5,20,37,36,226,Zaid,Cabbage,Cotton,167,Low,2.1,0.657
Gwalior,Madhya Pradesh,23.4374,75.0745,Black,62,32,70,7.0,20,67,22,439,Rabi,Fallow,Cotton,184,Low,2.02,0.433
Ujjain,Madhya Pradesh,22.8339,75.9344,Alluvial,26,46,23,7.5,20,76,31,889,Kharif,Soybean,Cabbage,109,High,23.36,0.542
Hisar,Haryana,28.7965,75.5218,Alluvial,40,24,50,7.4,27,89,28,1380,Kharif,Sugarcane,Potato,113,Medium,24.37,0.332
Muzaffarpur,Bihar,27.3593,87.2489,Alluvial,71,20,54,7.7,20,91,24,976,Kharif,Maize,Soybean,94,Medium,2.84,0.351
Ujjain,Madhya Pradesh,25.8961,81.1703,Alluvial,33,21,70,7.0,20,70,13,455,Rabi,Groundnut,Brinjal,143,Medium,21.93,0.389
Bhagalpur,Bihar,25.6456,86.7515,Sandy,29,13,56,7.9,20,86,31,1155,Kharif,Soybean,Potato,80,Medium,21.04,0.47
Bhavnagar,Gujarat,23.2326,72.9961,Clay,74,41,23,6.3,22,89,28,950,Kharif,Cauliflower,Cabbage,103,High,31.0,0.352
Patna,Bihar,24.5626,87.8406,Alluvial,50,48,42,7.7,26,77,26,1338,Kharif,Wheat,Sugarcane,347,Very High,96.21,0.395
Bengaluru,Karnataka,12.4624,77.1979,Alluvial,68,38,56,8.0,39,85,28,1964,Kharif,Cauliflower,Potato,103,Medium,26.8,0.366
Mumbai,Maharashtra,16.6504,75.9765,Sandy,52,17,39,8.2,20,31,38,230,Zaid,Tomato,Rice,90,High,2.23,0.421
Gaya,Bihar,26.4725,83.789,Clay,23,23,68,6.7,20,58,19,594,Rabi,Fallow,Rice,144,High,5.5,0.298
Rajkot,Gujarat,20.5074,72.6147,Alluvial,46,24,57,6.7,36,70,30,1819,Kharif,Onion,Tomato,97,Medium,50.97,0.77
Ujjain,Madhya Pradesh,22.2112,74.6034,Alluvial,22,31,19,6.6,20,51,33,242,Zaid,Cotton,Rice,121,High,4.17,0.413
Hyderabad,Telangana,18.9829,78.4409,Black,26,58,17,8.1,27,80,31,1149,Kharif,Onion,Sugarcane,356,Very High,63.39,0.476
Amritsar,Punjab,31.4707,74.9536,Red,20,37,65,6.1,20,48,29,177,Zaid,Wheat,Brinjal,126,Medium,18.18,0.383
Patna,Bihar,26.5325,87.0681,Black,39,12,61,7.9,20,54,34,140,Zaid,Cabbage,Cotton,208,Low,1.88,0.733
Amritsar,Punjab,30.7557,75.4755,Loamy,78,39,15,6.1,20,57,29,309,Zaid,Potato,Rice,94,High,5.37,0.259
Varanasi,Uttar Pradesh,30.3032,79.3657,Sandy,50,28,31,7.9,31,82,22,1964,Kharif,Fallow,Potato,99,Medium,27.62,0.427
Bhagalpur,Bihar,24.6593,85.8278,Alluvial,71,48,40,7.7,20,53,35,171,Zaid,Chilli,Sugarcane,303,Very High,64.07,0.402
Madurai,Tamil Nadu,9.5107,79.6379,Sandy,23,35,34,8.2,20,57,39,352,Zaid,Groundnut,Tomato,116,Medium,18.57,0.723
Kozhikode,Kerala,12.0909,75.0076,Sandy,80,52,40,8.3,20,41,27,542,Rabi,Cauliflower,Onion,126,Medium,16.05,0.275
Bhavnagar,Gujarat,24.0379,71.979,Clay,44,30,63,6.4,21,93,27,885,Kharif,Brinjal,Tomato,118,Medium,42.72,0.456
Chennai,Tamil Nadu,8.366,79.842,Sandy,55,47,67,8.2,20,53,26,490,Rabi,Rice,Brinjal,128,Medium,23.6,0.391
Sambalpur,Odisha,21.1042,82.7901,Alluvial,72,39,40,7.1,20,53,16,360,Rabi,Chilli,Wheat,140,Medium,4.03,0.341
Patiala,Punjab,31.7312,76.1209,Sandy,41,29,37,8.4,24,93,22,1516,Kharif,Groundnut,Potato,105,Medium,14.09,0.446
Bhagalpur,Bihar,26.5697,87.3735,Red,52,45,21,6.6,20,43,14,438,Rabi,Cotton,Wheat,148,Medium,3.41,0.16
Indore,Madhya Pradesh,25.9498,80.2326,Alluvial,26,35,59,7.5,22,78,24,1123,Kharif,Brinjal,Mustard,104,Low,2.13,0.43
Berhampur,Odisha,19.5647,86.4225,Clay,43,60,29,6.0,20,58,38,237,Zaid,Cauliflower,Potato,99,Medium,25.42,0.695
Belagavi,Karnataka,15.5528,76.9731,Black,28,59,64,8.0,36,94,35,1539,Kharif,Fallow,Chilli,143,Medium,1.76,0.429
Howrah,West Bengal,24.5713,87.6744,Sandy,64,52,42,8.5,20,87,27,1169,Kharif,Tomato,Cotton,175,Low,1.64,0.417
Sambalpur,Odisha,18.2707,83.1988,Alluvial,53,52,19,6.7,23,71,30,1165,Kharif,Potato,Cotton,156,Low,2.67,0.31
Nizamabad,Telangana,17.8915,77.1789,Alluvial,48,17,47,6.6,24,80,32,1217,Kharif,Cauliflower,Tomato,116,Medium,53.3,0.321
Tiruchirappalli,Tamil Nadu,11.0535,77.8411,Clay,70,11,20,6.7,20,62,21,407,Rabi,Chilli,Rice,109,High,4.61,0.329
Bhavnagar,Gujarat,20.4487,71.1646,Sandy,74,36,28,8.5,30,82,32,1929,Kharif,Sugarcane,Potato,87,Medium,15.73,0.8
Warangal,Telangana,17.0815,79.8205,Black,78,59,24,7.6,20,40,41,180,Zaid,Tomato,Cotton,185,Low,2.77,0.436
Kanpur,Uttar Pradesh,26.0894,80.9572,Sandy,33,58,50,7.9,20,50,20,455,Rabi,Mustard,Onion,130,Medium,18.66,0.303
Mysuru,Karnataka,18.4273,77.5414,Clay,33,24,36,6.3,20,78,37,805,Kharif,Tomato,Rice,98,High,4.31,0.175
Bhagalpur,Bihar,26.1188,85.2795,Sandy,53,38,41,8.6,20,74,24,847,Kharif,Groundnut,Cotton,192,Low,1.81,0.612
Amritsar,Punjab,29.5372,75.975,Black,36,13,23,7.0,20,33,34,369,Zaid,Potato,Wheat,150,Medium,3.81,0.354
Hyderabad,Telangana,18.3345,80.3521,Black,46,21,25,7.1,20,55,37,393,Zaid,Brinjal,Cotton,179,Low,2.46,0.579
Nizamabad,Telangana,19.4799,77.9894,Laterite,70,16,59,5.4,20,36,41,192,Zaid,Wheat,Potato,94,Medium,12.17,0.454
Hubballi,Karnataka,16.8544,75.6343,Sandy,29,46,17,7.7,20,42,22,516,Rabi,Fallow,Cauliflower,104,High,18.54,0.323
Aurangabad,Maharashtra,20.9618,77.2033,Alluvial,50,45,15,7.3,20,51,20,363,Rabi,Mustard,Onion,146,Medium,16.87,0.371
Ludhiana,Punjab,30.329,76.2221,Red,22,44,39,6.9,20,35,36,186,Zaid,Groundnut,Chilli,120,Medium,1.9,0.497
Jodhpur,Rajasthan,24.4363,69.8107,Black,79,12,58,7.0,20,44,31,270,Zaid,Rice,Cotton,206,Low,2.08,0.689
Lucknow,Uttar Pradesh,25.971,83.9187,Sandy,57,58,39,7.6,26,90,21,1638,Kharif,Maize,Groundnut,103,Low,1.82,0.556
Nizamabad,Telangana,18.0451,79.5458,Loamy,46,20,24,7.1,20,52,37,348,Zaid,Brinjal,Soybean,94,Medium,1.7,0.605
Cuttack,Odisha,20.0988,85.1097,Sandy,74,39,35,7.5,20,85,29,1248,Kharif,Maize,Mustard,129,Low,1.12,0.233
Faridabad,Haryana,29.1108,75.7472,Alluvial,63,50,15,6.8,20,43,17,538,Rabi,Mustard,Sugarcane,317,Very High,66.69,0.352
Jalandhar,Punjab,29.6466,76.4559,Alluvial,73,47,21,7.6,20,59,26,264,Zaid,Potato,Chilli,144,Medium,2.29,0.417
Patiala,Punjab,30.9631,74.5033,Alluvial,20,16,55,6.6,20,57,31,312,Zaid,Onion,Soybean,113,Medium,2.57,0.44
Surat,Gujarat,21.1186,70.6024,Black,45,17,61,7.2,20,36,39,177,Zaid,Maize,Chilli,134,Medium,1.56,0.8
Lucknow,Uttar Pradesh,29.2082,77.9688,Loamy,43,45,21,6.7,20,39,36,163,Zaid,Sugarcane,Wheat,168,Medium,2.18,0.603
Udaipur,Rajasthan,29.4068,71.3816,Black,39,51,41,8.4,21,71,23,892,Kharif,Maize,Rice,121,High,3.61,0.433
Bhagalpur,Bihar,24.2342,85.2531,Sandy,43,59,18,8.6,20,60,18,314,Rabi,Groundnut,Brinjal,120,Medium,12.99,0.506
Surat,Gujarat,22.8092,71.8894,Sandy,38,45,62,8.6,20,69,18,392,Rabi,Maize,Onion,137,Medium,12.05,0.468
Nagpur,Maharashtra,17.0676,73.0552,Laterite,31,51,46,5.7,38,94,32,1907,Kharif,Onion,Groundnut,96,Low,2.13,0.622
Bardhaman,West Bengal,25.6389,86.7824,Alluvial,56,44,45,7.4,20,69,20,467,Rabi,Maize,Cauliflower,89,High,27.03,0.335
Coimbatore,Tamil Nadu,8.5971,77.7082,Clay,58,16,26,7.2,20,41,26,507,Rabi,Potato,Sugarcane,311,Very High,74.76,0.56
Nashik,Maharashtra,18.6251,74.7887,Alluvial,53,60,27,7.2,20,90,36,849,Kharif,Rice,Tomato,96,Medium,41.09,0.795
Howrah,West Bengal,24.3976,86.8026,Alluvial,77,36,60,6.6,20,32,37,243,Zaid,Fallow,Tomato,96,Medium,22.13,0.8
Vadodara,Gujarat,23.1352,69.2736,Sandy,64,22,62,8.7,20,57,22,550,Rabi,Wheat,Potato,112,Medium,16.96,0.42
Kozhikode,Kerala,10.7779,76.8769,Red,26,21,68,6.8,20,94,34,1089,Kharif,Tomato,Cauliflower,105,High,19.09,0.705
Hisar,Haryana,28.7834,77.262,Alluvial,63,19,19,7.5,20,49,36,104,Zaid,Soybean,Maize,108,Medium,3.41,0.593
Ludhiana,Punjab,31.2102,74.3324,Alluvial,61,23,60,7.4,32,73,21,1646,Kharif,Mustard,Cabbage,93,High,27.95,0.498
Bhubaneswar,Odisha,21.3887,86.6894,Sandy,48,33,15,8.4,20,73,26,969,Kharif,Chilli,Mustard,131,Low,0.96,0.302
Ahmedabad,Gujarat,22.696,71.6778,Sandy,75,18,38,8.7,20,30,37,132,Zaid,Groundnut,Brinjal,134,Medium,9.3,0.528
Kozhikode,Kerala,10.0563,77.4059,Alluvial,34,31,48,7.8,20,33,43,289,Zaid,Wheat,Cauliflower,112,High,14.05,0.658
Surat,Gujarat,23.1499,72.7172,Alluvial,68,24,25,7.8,20,49,25,503,Rabi,Soybean,Brinjal,139,Medium,29.28,0.257
Ajmer,Rajasthan,23.2642,72.3625,Red,29,20,26,6.4,20,53,39,184,Zaid,Rice,Wheat,148,Medium,2.29,0.519
Aurangabad,Maharashtra,16.4906,76.5276,Alluvial,31,35,17,6.8,28,80,36,1409,Kharif,Chilli,Soybean,114,Medium,2.39,0.732
Kolkata,West Bengal,24.7028,86.7765,Alluvial,32,51,43,8.0,29,73,26,1479,Kharif,Potato,Maize,82,Medium,5.46,0.385
Bathinda,Punjab,31.2295,74.5745,Clay,58,55,59,7.5,20,60,20,349,Rabi,Fallow,Cauliflower,99,High,23.86,0.624
Rohtak,Haryana,29.6913,77.3804,Alluvial,66,27,55,6.6,20,52,36,198,Zaid,Chilli,Mustard,136,Low,1.17,0.459
Nellore,Andhra Pradesh,17.7991,77.0015,Alluvial,53,18,34,7.4,25,76,33,1254,Kharif,Cabbage,Cotton,151,Low,3.36,0.507
Bengaluru,Karnataka,12.2531,76.6229,Alluvial,32,60,25,7.7,20,48,26,255,Rabi,Cauliflower,Cabbage,119,High,24.3,0.535
Warangal,Telangana,16.4328,77.3743,Red,67,42,67,6.8,20,58,27,539,Rabi,Rice,Soybean,108,Medium,3.34,0.343
Bardhaman,West Bengal,22.9997,87.2215,Alluvial,37,27,44,7.5,20,33,40,262,Zaid,Sugarcane,Onion,127,Medium,9.94,0.482
Vadodara,Gujarat,23.4839,70.8888,Alluvial,48,60,59,7.6,24,86,26,1239,Kharif,Cabbage,Sugarcane,351,Very High,86.37,0.36
Vadodara,Gujarat,20.0254,71.298,Alluvial,40,48,18,6.7,20,45,39,254,Zaid,Wheat,Sugarcane,345,Very High,58.46,0.408
Vijayawada,Andhra Pradesh,16.6491,80.2543,Alluvial,31,39,26,6.6,39,85,31,1966,Kharif,Rice,Potato,98,Medium,20.87,0.686
Karnal,Haryana,28.1731,76.3101,Alluvial,53,23,57,7.8,20,42,12,227,Rabi,Cabbage,Potato,101,Medium,21.35,0.312
Hisar,Haryana,28.8458,76.3033,Clay,68,12,57,6.1,20,31,28,394,Zaid,Mustard,Soybean,103,Medium,3.9,0.488
Faridabad,Haryana,29.0929,76.1263,Alluvial,71,13,17,7.0,20,87,25,1020,Kharif,Cabbage,Brinjal,124,Medium,30.37,0.349
Mangaluru,Karnataka,15.1143,78.0436,Black,38,50,61,7.3,31,75,35,1326,Kharif,Rice,Chilli,143,Medium,2.09,0.422
Muzaffarpur,Bihar,25.5172,85.5077,Alluvial,59,16,53,7.7,20,58,17,302,Rabi,Fallow,Potato,103,Medium,29.48,0.277
Faridabad,Haryana,30.3622,76.8232,Sandy,43,23,34,8.0,20,69,19,501,Rabi,Tomato,Brinjal,140,Medium,19.67,0.336
Nagpur,Maharashtra,21.6821,78.9235,Mountain,44,46,45,6.4,34,91,30,1739,Kharif,Fallow,Sugarcane,358,Very High,107.07,0.255
Tiruchirappalli,Tamil Nadu,12.9438,79.7609,Mountain,29,57,15,6.3,37,93,33,1855,Kharif,Cotton,Cauliflower,103,High,13.6,0.8
Bhavnagar,Gujarat,22.1577,72.6624,Alluvial,61,54,42,7.1,20,43,24,264,Rabi,Wheat,Mustard,120,Low,1.69,0.419
Chennai,Tamil Nadu,12.6847,79.9832,Clay,60,55,63,7.4,20,59,25,218,Rabi,Chilli,Rice,105,High,5.26,0.266
Tiruchirappalli,Tamil Nadu,9.0247,79.6215,Mountain,20,29,51,6.8,20,39,36,271,Zaid,Tomato,Wheat,161,Medium,2.74,0.597
Kozhikode,Kerala,11.5274,76.0931,Alluvial,35,24,59,7.4,20,43,24,266,Rabi,Onion,Sugarcane,364,Very High,61.16,0.342
Siliguri,West Bengal,25.2252,88.7084,Black,73,10,34,7.6,20,65,14,420,Rabi,Potato,Rice,119,High,3.37,0.338
Chennai,Tamil Nadu,13.3262,79.1014,Loamy,29,52,45,6.8,30,87,30,1517,Kharif,Cabbage,Wheat,127,Medium,3.26,0.254
Ahmedabad,Gujarat,22.7433,72.9405,Laterite,36,52,20,5.8,23,87,28,1155,Kharif,Sugarcane,Rice,94,High,3.55,0.247
Belagavi,Karnataka,16.2862,77.1206,Black,47,20,15,8.2,20,62,23,313,Rabi,Cauliflower,Sugarcane,335,Very High,51.75,0.602
Mumbai,Maharashtra,21.3667,74.1561,Sandy,48,25,65,8.5,29,90,32,1824,Kharif,Cabbage,Onion,123,Medium,10.07,0.581
Hyderabad,Telangana,16.6384,78.1584,Alluvial,59,41,27,6.9,20,41,17,277,Rabi,Wheat,Cotton,161,Low,1.45,0.614
Faridabad,Haryana,29.5154,76.02,Alluvial,34,54,33,7.2,29,91,28,1493,Kharif,Brinjal,Cabbage,110,High,30.3,0.575
Hyderabad,Telangana,18.2079,77.0674,Alluvial,72,53,47,6.8,20,91,35,810,Kharif,Brinjal,Cabbage,116,High,32.5,0.579
Thiruvananthapuram,Kerala,10.4584,77.2174,Alluvial,36,38,42,7.6,20,63,20,339,Rabi,Wheat,Brinjal,141,Medium,22.15,0.268
Pune,Maharashtra,17.7883,79.5958,Sandy,20,45,70,8.9,20,31,34,163,Zaid,Tomato,Sugarcane,350,Very High,36.77,0.417
Hisar,Haryana,30.3824,76.912,Alluvial,80,41,66,6.9,36,70,27,1804,Kharif,Maize,Brinjal,140,Medium,36.31,0.341
Cuttack,Odisha,21.9183,82.8963,Black,21,39,55,7.0,39,83,28,1649,Kharif,Soybean,Cotton,152,Low,2.85,0.704
Kochi,Kerala,12.4924,74.8891,Alluvial,24,26,49,7.5,30,77,37,1531,Kharif,Cotton,Tomato,112,Medium,40.45,0.8
Kurnool,Andhra Pradesh,13.2681,79.6928,Alluvial,44,45,47,6.8,20,51,42,309,Zaid,Brinjal,Maize,106,Medium,4.89,0.542
Sambalpur,Odisha,22.2745,84.8452,Sandy,59,48,49,7.9,20,70,23,208,Rabi,Maize,Cauliflower,90,High,17.29,0.351
Aurangabad,Maharashtra,16.7877,77.8242,Laterite,76,34,45,5.5,20,53,26,507,Rabi,Mustard,Soybean,114,Medium,2.98,0.353
Cuttack,Odisha,20.1416,81.885,Alluvial,29,54,40,7.5,20,53,40,251,Zaid,Potato,Cauliflower,90,High,14.24,0.79
Madurai,Tamil Nadu,12.6334,77.7446,Mountain,67,44,51,5.1,20,82,31,983,Kharif,Maize,Soybean,116,Medium,3.49,0.54
Aurangabad,Maharashtra,19.4023,74.3473,Black,64,59,45,7.5,42,92,37,1760,Kharif,Cauliflower,Cotton,161,Low,2.84,0.575
Gwalior,Madhya Pradesh,24.8481,78.282,Mountain,69,23,31,5.2,26,71,32,1334,Kharif,Wheat,Onion,149,Medium,15.81,0.712
Howrah,West Bengal,24.9554,88.7102,Black,22,47,38,8.2,20,59,32,146,Zaid,Soybean,Rice,108,High,4.05,0.274
Sambalpur,Odisha,17.6808,86.1758,Black,29,34,36,8.5,20,34,40,236,Zaid,Wheat,Cabbage,92,High,16.34,0.582
Karnal,Haryana,28.7062,77.2892,Alluvial,78,23,40,7.8,20,83,30,844,Kharif,Chilli,Potato,111,Medium,18.9,0.337
Khammam,Telangana,18.9285,80.853,Alluvial,69,27,68,6.7,20,50,38,228,Zaid,Onion,Chilli,133,Medium,1.97,0.8
Bathinda,Punjab,30.1857,74.6719,Alluvial,56,52,35,6.7,20,54,15,427,Rabi,Rice,Tomato,104,Medium,30.5,0.59
Karimnagar,Telangana,16.7624,77.2343,Mountain,55,30,19,6.8,20,64,21,332,Rabi,Cauliflower,Tomato,98,Medium,35.31,0.479
Rourkela,Odisha,18.4154,85.3849,Alluvial,65,27,51,7.1,20,44,27,374,Rabi,Wheat,Brinjal,139,Medium,24.82,0.511
Kanpur,Uttar Pradesh,26.718,78.8415,Alluvial,50,43,57,7.5,25,79,24,1274,Kharif,Cabbage,Tomato,105,Medium,55.83,0.479
Tiruchirappalli,Tamil Nadu,12.1406,79.0134,Alluvial,45,19,23,6.9,20,58,18,443,Rabi,Mustard,Cotton,185,Low,1.47,0.587
Bhopal,Madhya Pradesh,24.224,76.7918,Mountain,20,48,32,6.0,27,90,35,1363,Kharif,Soybean,Onion,135,Medium,12.87,0.617
Visakhapatnam,Andhra Pradesh,13.8944,81.4274,Laterite,25,26,35,6.3,20,52,42,183,Zaid,Wheat,Cotton,155,Low,1.66,0.637
Bhopal,Madhya Pradesh,23.2472,82.2349,Clay,62,22,63,6.3,27,84,26,1162,Kharif,Onion,Cotton,205,Low,3.04,0.397
Allahabad,Uttar Pradesh,25.7612,80.1529,Red,22,48,26,6.4,20,50,33,145,Zaid,Mustard,Groundnut,101,Low,1.18,0.402
Rohtak,Haryana,30.3403,76.1101,Sandy,80,43,66,8.5,20,33,33,133,Zaid,Cabbage,Mustard,108,Low,0.55,0.56
Bengaluru,Karnataka,14.6038,76.5663,Loamy,44,42,43,6.4,20,34,36,160,Zaid,Soybean,Wheat,145,Medium,3.34,0.396
Vadodara,Gujarat,24.2873,69.3981,Black,69,60,20,7.4,27,84,30,1163,Kharif,Tomato,Cauliflower,104,High,21.68,0.519
Salem,Tamil Nadu,12.1679,77.0416,Alluvial,34,24,61,7.8,20,37,38,342,Zaid,Groundnut,Mustard,129,Low,1.26,0.298
Kolkata,West Bengal,21.7972,87.0926,Sandy,71,58,44,8.0,20,87,26,907,Kharif,Maize,Groundnut,95,Low,2.15,0.371
Amritsar,Punjab,30.9337,74.4028,Alluvial,29,13,25,7.8,20,70,12,464,Rabi,Fallow,Sugarcane,302,Very High,50.06,0.696
Salem,Tamil Nadu,9.395,79.9924,Black,63,35,63,7.9,46,95,36,1930,Kharif,Soybean,Sugarcane,322,Very High,108.05,0.347
Allahabad,Uttar Pradesh,27.4446,78.722,Laterite,66,52,65,6.4,20,47,30,337,Zaid,Onion,Brinjal,131,Medium,21.87,0.362
Sambalpur,Odisha,21.0729,84.2136,Sandy,34,38,38,8.1,20,60,24,255,Rabi,Groundnut,Onion,129,Medium,8.97,0.509
Salem,Tamil Nadu,8.6668,78.2906,Sandy,30,26,28,8.1,20,30,32,336,Zaid,Brinjal,Mustard,140,Low,0.64,0.407
Agra,Uttar Pradesh,29.4608,83.0481,Sandy,37,42,28,7.5,20,64,11,487,Rabi,Chilli,Onion,128,Medium,13.07,0.278
Mysuru,Karnataka,13.3335,77.1821,Sandy,48,44,25,7.7,20,59,36,162,Zaid,Fallow,Groundnut,102,Low,1.17,0.372
